Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M70317020205;M700;M703;17;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020204;M700;M703;17;02;04;X;X;Controlados;Estanteria;2;Estanteria;B2ES
M70317020203;M700;M703;17;02;03;X;X;Controlados;Estanteria;2;Estanteria;B2ES
M70317020202;M700;M703;17;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020201;M700;M703;17;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020105;M700;M703;17;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020104;M700;M703;17;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020103;M700;M703;17;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020102;M700;M703;17;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020101;M700;M703;17;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020405;M700;M703;16;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020404;M700;M703;16;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020403;M700;M703;16;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020402;M700;M703;16;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020401;M700;M703;16;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020305;M700;M703;16;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020304;M700;M703;16;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020303;M700;M703;16;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020302;M700;M703;16;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020301;M700;M703;16;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020205;M700;M703;16;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020204;M700;M703;16;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020203;M700;M703;16;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020202;M700;M703;16;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020201;M700;M703;16;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020105;M700;M703;16;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020104;M700;M703;16;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020103;M700;M703;16;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020102;M700;M703;16;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70316020101;M700;M703;16;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020605;M700;M703;15;06;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020604;M700;M703;15;06;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020603;M700;M703;15;06;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020602;M700;M703;15;06;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020601;M700;M703;15;06;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020505;M700;M703;15;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020504;M700;M703;15;05;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020503;M700;M703;15;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020502;M700;M703;15;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020501;M700;M703;15;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020405;M700;M703;15;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020404;M700;M703;15;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020403;M700;M703;15;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
